NodeID,X,Y,NodeType,SystemType,SurfaceElev,InvertElev,StrahlerNumber
147,403226.27,4316684.71,OUTFALL_WWTP,0,8.70,7.40,1
388,399078.15,4312586.83,OUTFALL_WWTP,0,10.00,2.47,1
379,396039.75,4315332.15,OUTFALL_WWTP,0,9.30,7.21,1
443,407723.60,4315763.26,OUTFALL_WWTP,0,8.00,4.65,1
376,402976.60,4320858.56,OUTFALL_WWTP,0,9.70,8.30,1
397,402518.67,4311189.42,OUTFALL_WWTP,0,8.70,2.17,1
184,412888.26,4318306.38,OUTFALL_WWTP,0,9.40,6.44,1
186,405232.85,4318342.38,OUTFALL_WWTP,0,9.30,1.23,1
207,413207.18,4320599.02,OUTFALL_WWTP,0,8.00,6.92,1
64,400018.20,4315864.07,OUTFALL_WWTP,0,8.00,3.72,1
417,400660.89,4320868.85,OUTFALL_WWTP,0,10.90,3.39,1
429,408669.79,4319868.93,OUTFALL_WWTP,0,11.80,9.90,1
412,414516.74,4319352.98,OUTFALL_WWTP,0,8.80,5.81,1
393,394723.89,4319527.97,OUTFALL_WWTP,0,9.40,6.67,1
167,397197.58,4319012.80,OUTFALL_WWTP,0,9.30,5.79,1
305,406939.15,4313078.17,OUTFALL_WWTP,0,8.00,3.37,1
446,406426.89,4316673.35,OUTFALL_WWTP,0,11.70,9.29,1
444,407761.06,4321060.60,OUTFALL_WWTP,0,11.80,10.65,1
32,396574.56,4317085.77,OUTFALL_WWTP,0,9.30,8.00,1
72,400028.25,4317985.57,OUTFALL_WWTP,0,8.80,1.84,1
315,407744.43,4318708.29,OUTFALL_WWTP,0,11.80,3.94,1
380,395969.48,4315121.36,Manhole,0,9.80,7.55,2
153,407730.00,4316668.72,Manhole,0,10.10,6.41,2
377,406440.37,4314360.96,Manhole,0,8.00,2.32,4
104,394713.49,4318961.73,Manhole,0,9.40,7.27,2
269,409070.97,4319867.75,Manhole,0,11.80,3.57,6
405,397716.51,4319455.79,Manhole,0,9.30,8.40,1
29,396850.53,4319433.11,Manhole,0,9.40,6.75,4
76,397440.69,4318718.36,Manhole,0,8.00,7.10,1
442,407763.35,4321384.01,Manhole,0,8.00,7.10,1
272,407756.35,4320394.32,Manhole,0,11.80,7.66,1
254,403213.74,4320418.04,Manhole,0,9.70,2.44,2
10,401269.08,4320866.14,Manhole,0,10.90,4.14,2
299,413204.30,4320199.07,Manhole,0,8.80,7.80,1
411,414557.64,4319683.58,Manhole,0,9.40,6.24,1
91,407747.14,4319091.66,Manhole,0,11.80,4.40,2
308,405234.89,4318710.84,Manhole,0,9.30,1.56,5
87,412890.91,4319069.99,Manhole,0,9.40,2.23,3
183,413532.66,4318303.35,Manhole,0,8.80,7.40,3
68,400026.10,4317531.80,Manhole,0,8.80,2.25,5
25,396573.07,4316709.83,Manhole,0,8.70,2.04,4
31,396575.99,4317445.50,Manhole,0,9.30,5.51,1
144,402490.38,4316687.32,Manhole,0,8.00,5.04,2
461,403566.84,4316683.50,Manhole,0,8.70,2.49,3
456,406821.21,4316671.95,Manhole,0,11.70,10.80,1
65,400020.22,4316291.89,Manhole,0,8.00,4.21,5
373,406081.07,4313343.89,Manhole,0,8.00,4.59,3
63,399299.32,4312928.63,Manhole,0,10.00,2.90,4
396,401858.13,4311621.72,Manhole,0,8.70,3.53,2
395,395391.69,4315501.84,Manhole,0,9.80,8.60,2
154,407255.31,4316670.41,Manhole,0,11.70,10.70,1
458,407732.67,4317046.49,Manhole,0,10.10,7.34,1
301,407203.73,4313787.25,Manhole,0,8.00,3.53,4
73,394702.68,4318373.72,Manhole,0,9.40,7.90,2
208,409077.04,4320617.62,Manhole,0,11.80,5.33,2
88,409064.66,4319086.11,Manhole,0,11.80,5.38,6
284,409858.20,4319865.42,Manhole,0,8.00,6.90,1
21,397186.56,4319694.47,Manhole,0,9.40,8.40,1
172,396578.97,4319762.00,Manhole,0,10.30,8.16,4
276,406837.52,4320399.12,Manhole,0,11.70,9.84,1
273,403897.17,4320414.47,Manhole,0,10.80,3.50,2
421,402004.66,4320862.88,Manhole,0,10.90,5.44,1
253,401270.64,4320202.14,Manhole,0,10.90,6.84,2
213,414074.69,4320258.12,Manhole,0,10.00,7.42,1
93,407263.88,4319093.69,Manhole,0,11.80,4.98,2
89,405237.06,4319102.23,Manhole,0,9.30,8.25,1
453,404874.09,4318712.72,Manhole,0,9.70,2.10,5
98,412501.23,4319071.63,Manhole,0,8.80,2.03,2
173,414223.71,4318300.10,Manhole,0,8.30,2.20,3
86,413533.46,4319067.28,Manhole,0,9.40,3.32,1
69,400024.02,4317092.91,Manhole,0,8.80,2.65,5
26,396571.48,4316309.66,Manhole,0,8.70,7.70,1
137,396995.40,4316709.38,Manhole,0,9.30,2.84,4
18,396045.19,4317447.72,Manhole,0,8.00,7.10,1
145,401977.80,4316689.14,Manhole,0,8.00,7.10,1
224,402491.12,4317065.93,Manhole,0,8.00,7.10,1
148,403891.00,4316682.35,Manhole,0,8.70,3.11,3
143,400645.11,4316288.67,Manhole,0,8.00,5.75,2
40,399122.07,4316296.51,Manhole,0,8.70,0.67,5
372,406150.92,4312727.94,Manhole,0,8.80,5.44,2
486,406163.62,4313940.79,Manhole,0,8.00,7.00,1
67,399544.05,4313306.85,Manhole,0,9.40,3.98,1
113,398711.48,4313315.73,Manhole,0,10.00,4.00,4
51,400935.00,4311947.43,Manhole,0,9.30,5.23,2
401,395229.24,4315881.86,Manhole,0,9.80,2.33,2
316,407735.92,4317505.18,Manhole,0,10.10,9.20,1
438,408783.30,4315454.13,Manhole,0,8.00,6.50,4
74,395514.15,4318370.31,Manhole,0,8.00,2.20,2
436,409083.21,4321381.78,Manhole,0,10.10,9.20,1
306,409061.46,4318691.04,Manhole,0,11.80,5.82,6
210,409863.24,4320614.08,Manhole,0,11.80,6.60,1
111,396584.39,4320232.75,Manhole,0,10.30,8.70,4
252,406845.95,4320011.64,Manhole,0,11.70,10.70,1
249,403892.04,4320023.99,Manhole,0,10.00,6.77,1
274,404533.87,4320411.14,Manhole,0,10.80,4.69,2
237,401999.31,4320031.90,Manhole,0,10.00,7.66,1
219,400658.64,4320214.91,Manhole,0,10.90,9.90,1
241,401580.52,4320033.65,Manhole,0,10.90,7.51,2
410,413790.34,4320596.39,Manhole,0,9.40,8.35,1
335,407265.81,4319639.79,Manhole,0,11.80,8.89,1
92,406433.85,4319097.19,Manhole,0,11.70,6.23,2
191,404874.09,4318344.06,Manhole,0,9.30,8.40,1
263,404510.44,4318714.61,Manhole,0,9.70,2.45,5
489,412497.92,4318679.36,Manhole,0,8.80,2.99,2
430,413533.93,4319512.87,Manhole,0,10.00,4.09,1
211,414213.68,4317487.53,Manhole,0,8.30,3.43,3
216,400647.86,4317086.09,Manhole,0,8.80,3.23,4
70,400022.15,4316697.98,Manhole,0,8.80,7.90,1
138,397403.50,4316708.95,Manhole,0,8.70,3.50,4
149,404521.51,4316680.11,Manhole,0,8.70,7.80,1
460,403893.19,4317068.08,Manhole,0,8.70,3.78,3
150,401105.61,4316286.29,Manhole,0,8.00,6.72,1
128,400643.64,4315862.58,Manhole,0,9.40,8.50,1
44,399125.89,4317085.87,Manhole,0,8.70,1.68,4
39,399119.98,4315866.20,Manhole,0,8.70,7.80,1
304,406792.39,4312516.07,Manhole,0,8.80,7.16,1
371,406208.07,4311997.69,Manhole,0,10.40,9.50,1
47,399777.70,4313667.95,Manhole,0,8.00,5.37,1
38,398038.86,4313758.66,Manhole,0,10.00,5.01,4
61,401216.63,4312497.29,Manhole,0,8.70,6.08,2
106,395043.00,4316317.54,Manhole,0,9.80,3.05,2
437,409045.08,4316664.05,Manhole,0,11.70,9.20,4
498,395511.57,4318012.24,Manhole,0,9.30,2.96,1
400,395515.89,4318612.39,Manhole,0,8.00,7.00,1
11,396047.56,4318368.07,Manhole,0,8.00,3.58,2
367,409850.29,4318688.54,Manhole,0,10.10,7.45,5
492,408722.30,4318692.12,Manhole,0,11.80,10.90,1
472,409868.39,4321380.45,Manhole,0,10.10,9.20,1
185,409058.50,4318324.39,Manhole,0,8.00,6.85,2
408,396591.93,4320886.93,Manhole,0,10.30,2.65,4
246,403215.06,4320026.82,Manhole,0,9.70,8.80,1
250,404535.66,4320021.30,Manhole,0,10.80,5.95,1
318,404532.11,4320793.24,Manhole,0,10.80,9.60,2
236,401997.07,4319683.92,Manhole,0,9.70,8.80,1
240,401579.78,4319686.11,Manhole,0,10.00,8.06,2
317,407750.88,4319620.78,Manhole,0,11.80,10.90,1
251,406436.48,4320013.35,Manhole,0,11.70,7.85,2
84,404508.31,4319105.30,Manhole,0,9.70,8.69,1
259,403902.56,4318717.78,Manhole,0,9.70,3.07,5
488,412131.59,4318692.25,Manhole,0,8.30,7.40,1
198,412494.78,4318308.23,Manhole,0,8.80,3.82,1
296,413419.63,4319671.62,Manhole,0,10.00,4.53,1
485,414485.40,4317486.31,Manhole,0,8.30,7.25,1
291,413531.80,4317486.03,Manhole,0,8.80,4.37,3
215,400649.38,4317528.92,Manhole,0,9.30,7.13,3
235,401106.32,4317081.08,Manhole,0,8.80,4.71,3
217,400646.55,4316706.20,Manhole,0,8.80,7.90,1
141,397405.51,4316305.36,Manhole,0,8.70,6.12,2
166,397401.65,4317079.58,Manhole,0,9.30,4.03,4
262,403895.17,4317417.44,Manhole,0,9.30,4.30,3
129,401095.23,4315861.51,Manhole,0,9.40,8.50,1
136,398646.31,4317090.21,Manhole,0,9.30,2.26,4
303,406644.53,4311949.78,Manhole,0,10.40,9.50,1
387,400009.49,4314026.17,Manhole,0,8.00,7.10,1
45,398272.60,4314119.84,Manhole,0,9.40,5.75,3
34,397804.28,4313396.16,Manhole,0,10.80,8.09,1
229,400757.55,4312453.85,Manhole,0,9.00,8.10,1
385,401082.52,4312845.98,Manhole,0,8.30,7.30,1
121,395499.37,4316315.18,Manhole,0,9.80,3.70,2
302,409050.94,4317389.49,Manhole,0,11.70,10.30,4
116,394695.97,4318008.21,Manhole,0,9.40,4.38,1
407,396048.48,4318725.55,Manhole,0,9.30,4.05,2
96,409852.94,4319082.79,Manhole,0,10.10,8.37,4
293,410516.09,4318686.42,Manhole,0,11.70,10.80,1
196,409847.82,4318320.67,Manhole,0,10.10,9.00,1
465,409052.57,4317590.64,Manhole,0,11.70,10.70,1
1,396054.05,4320889.32,Manhole,0,10.80,3.18,4
247,405242.15,4320018.34,Manhole,0,9.70,7.51,1
307,405246.42,4320789.15,Manhole,0,10.00,3.04,2
81,401578.57,4319117.64,Manhole,0,10.00,8.85,2
275,406437.60,4320401.21,Manhole,0,11.70,8.50,2
83,403904.78,4319107.84,Manhole,0,9.70,8.79,1
180,403900.47,4318348.64,Manhole,0,9.70,5.76,5
426,404508.28,4319110.66,Manhole,0,9.70,8.70,1
451,403583.78,4318719.44,Manhole,0,9.70,4.00,2
199,412129.59,4318309.95,Manhole,0,8.30,4.91,1
267,413106.60,4319855.84,Manhole,0,8.80,5.38,1
484,412885.41,4317484.61,Manhole,0,8.80,5.39,2
431,413531.59,4317291.65,Manhole,0,8.80,6.41,1
234,401574.22,4317075.96,Manhole,0,8.80,5.37,3
220,400650.95,4317982.16,Manhole,0,9.30,7.60,3
142,397711.42,4316303.78,Manhole,0,8.70,7.80,1
140,396993.67,4316307.48,Manhole,0,8.70,7.80,1
165,397399.84,4317442.05,Manhole,0,9.30,4.50,4
329,403566.97,4317417.95,Manhole,0,9.30,5.34,2
261,403896.32,4317619.61,Manhole,0,9.30,5.51,1
266,404517.50,4317416.48,Manhole,0,9.30,5.34,2
130,398643.36,4316707.62,Manhole,0,9.30,2.65,4
427,401077.68,4314309.24,Manhole,0,8.00,1.38,1
414,397953.76,4314323.71,Manhole,0,9.40,6.51,2
214,398951.05,4313686.03,Manhole,0,9.40,7.21,1
416,398484.09,4312964.26,Manhole,0,10.80,9.75,1
119,395496.27,4315883.50,Manhole,0,9.80,8.80,1
16,396042.27,4316312.39,Manhole,0,8.00,5.48,1
349,409841.54,4317387.29,Manhole,0,11.70,4.03,4
108,394687.46,4317544.75,Manhole,0,9.30,5.13,1
28,396581.04,4318718.50,Manhole,0,9.30,4.90,2
85,410515.80,4319080.00,Manhole,0,11.70,9.04,4
12,396052.36,4320234.43,Manhole,0,10.30,4.56,3
8,395639.39,4320891.17,Manhole,0,10.80,4.17,1
270,405244.30,4320407.44,Manhole,0,10.00,9.10,1
312,405974.82,4320784.98,Manhole,0,11.70,10.80,1
202,405249.74,4321388.26,Manhole,0,10.80,4.52,1
80,401993.42,4319115.90,Manhole,0,9.70,2.94,2
319,406438.69,4320782.33,Manhole,0,11.70,4.17,1
271,405973.23,4320403.63,Manhole,0,11.70,9.83,1
425,403904.80,4319111.54,Manhole,0,9.70,8.80,1
260,403898.24,4317957.50,Manhole,0,9.30,1.61,4
181,404512.45,4318345.76,Manhole,0,9.30,8.40,1
447,403219.43,4318721.34,Manhole,0,9.30,4.63,2
363,412127.56,4317920.12,Manhole,0,8.30,6.51,1
435,412891.01,4319098.44,Manhole,0,9.40,8.50,1
297,412885.74,4317580.02,Manhole,0,8.80,5.53,2
432,413314.64,4317042.94,Manhole,0,8.30,7.40,1
231,401575.17,4317524.62,Manhole,0,9.30,6.50,2
233,401980.26,4317071.52,Manhole,0,8.80,7.90,1
174,400652.26,4318363.92,Manhole,0,9.70,4.03,3
146,401573.39,4316690.58,Manhole,0,8.00,7.10,1
160,396998.57,4317443.73,Manhole,0,9.80,5.16,3
164,397398.85,4317641.84,Manhole,0,9.30,7.08,1
257,403223.80,4317418.48,Manhole,0,8.70,7.80,1
452,403573.43,4317621.08,Manhole,0,9.30,6.75,1
330,404868.72,4317415.94,Manhole,0,8.70,7.80,1
462,404519.48,4317052.05,Manhole,0,8.70,6.12,2
339,403566.91,4317068.02,Manhole,0,8.70,6.49,1
131,398640.22,4316299.00,Manhole,0,8.70,3.71,2
53,398192.74,4316708.11,Manhole,0,9.30,3.96,4
227,402079.36,4313541.79,Manhole,0,8.00,6.22,1
415,399182.10,4314043.15,Manhole,0,9.30,8.30,1
