SubcID,WasteCapacity(m3/d),ReuseCapacity(m3/d),InPointID,WasteCost(1e4CNY),ReuseTreatCost(1e4CNY),ReusePipeCost(1e4CNY)
936,6784.13,0,147,226.35,0,0
977,669.6,0,384,157.613,0,0
1021,11767.7,0,388,282.665,0,0
975,4656.1,0,379,202.382,0,0
972,11859.3,0,443,283.703,0,0
119,7361.28,0,376,232.858,0,0
1035,5781.89,0,397,215.056,0,0
424,11738.3,0,184,282.333,0,0
452,25599.5,0,186,440.348,0,0
60,2479.68,0,207,177.92,0,0
967,16819.5,0,64,340.021,0,0
689,393.984,0,424,154.524,0,0
45,9665.57,0,417,258.879,0,0
308,27260.1,0,429,459.416,0,0
302,3892.32,0,412,193.792,0,0
930,1111.1,0,471,162.563,0,0
303,13553.6,0,393,302.911,0,0
310,17197.1,0,167,344.319,0,0
1006,4826.3,0,305,204.298,0,0
935,970.272,0,446,160.984,0,0
39,3789.5,0,444,192.636,0,0
862,6025.54,0,32,217.8,0,0
601,25081.9,0,72,434.412,0,0
464,10269.5,0,315,265.708,0,0
