SubcID,IsRoad,Area,Width,Mode,DisPointID,Partition
1,0,5.2,2.3,0,497,8
2,0,3.4,1.9,0,442,8
3,0,6.0,2.5,0,202,8
4,0,2.7,1.7,0,202,8
5,0,10.3,3.2,0,472,8
6,0,6.2,2.5,0,200,8
7,0,6.2,2.5,0,205,8
8,0,44.5,6.7,0,6,21
9,0,38.0,6.2,0,1,20
10,0,16.6,4.1,0,445,8
11,0,4.9,2.2,0,210,8
12,0,3.8,2.0,0,210,8
13,0,12.4,3.5,0,318,8
14,0,7.5,2.7,0,307,8
15,0,3.3,1.8,0,307,8
16,0,9.8,3.1,0,307,8
17,0,24.8,5.0,0,319,8
18,0,3.1,1.8,0,210,8
19,0,5.5,2.4,0,206,8
20,0,5.6,2.4,0,209,8
21,0,5.4,2.3,0,203,8
22,0,1.8,1.3,0,493,8
23,0,3.3,1.8,0,480,10
24,0,15.7,4.0,0,210,8
25,0,11.5,3.4,0,436,8
26,0,2.8,1.7,0,210,8
27,0,3.9,2.0,0,206,8
28,0,3.5,1.9,0,210,8
29,0,3.9,2.0,0,206,8
30,0,4.0,2.0,0,209,8
31,0,3.0,1.7,0,318,8
32,0,4.5,2.1,0,307,8
33,0,1.4,1.2,0,307,8
34,0,5.7,2.4,0,312,8
35,0,3.3,1.8,0,319,8
36,0,18.9,4.3,0,321,8
37,0,7.5,2.7,0,444,9
38,0,9.3,3.1,0,376,2
39,0,26.2,5.1,0,444,9
40,0,3.4,1.9,0,1,20
41,0,5.0,2.2,0,408,20
42,0,12.2,3.5,0,2,7
43,0,11.0,3.3,0,2,7
44,0,19.2,4.4,0,4,7
45,0,13.8,3.7,0,417,6
46,0,6.5,2.5,0,10,7
47,0,12.5,3.5,0,10,7
48,0,3.5,1.9,0,421,7
49,0,10.2,3.2,0,421,7
50,0,18.6,4.3,0,410,10
51,0,6.9,2.6,0,1,20
52,0,4.5,2.1,0,417,6
53,0,6.2,2.5,0,254,7
54,0,7.0,2.7,0,273,7
55,0,3.4,1.8,0,274,7
56,0,4.0,2.0,0,270,15
57,0,1.6,1.3,0,270,15
58,0,5.7,2.4,0,307,8
59,0,4.5,2.1,0,271,15
60,0,26.0,5.1,0,207,10
61,0,3.8,1.9,0,276,15
62,0,3.3,1.8,0,276,15
63,0,2.3,1.5,0,272,15
64,0,3.5,1.9,0,272,15
65,0,2.0,1.4,0,206,8
66,0,3.7,1.9,0,206,8
67,0,3.7,1.9,0,209,8
68,0,1.6,1.3,0,209,8
69,0,2.6,1.6,0,493,8
70,0,2.0,1.4,0,474,8
71,0,1.6,1.3,0,482,10
72,0,1.7,1.3,0,480,10
73,0,1.7,1.3,0,480,10
74,0,3.8,1.9,0,71,7
75,0,3.7,1.9,0,208,8
76,0,3.8,2.0,0,210,8
77,0,6.1,2.5,0,7,7
78,0,2.8,1.7,0,12,20
79,0,5.6,2.4,0,110,20
80,0,4.2,2.0,0,111,20
81,0,4.9,2.2,0,111,20
82,0,4.1,2.0,0,22,7
83,0,2.0,1.4,0,22,7
84,0,6.0,2.5,0,109,7
85,0,7.4,2.7,0,50,7
86,0,8.2,2.9,0,37,7
87,0,4.9,2.2,0,71,7
88,0,5.2,2.3,0,219,7
89,0,3.7,1.9,0,219,7
90,0,5.3,2.3,0,253,7
91,0,3.4,1.8,0,466,8
92,0,3.4,1.8,0,353,8
93,0,1.5,1.2,0,353,8
94,0,1.8,1.3,0,354,8
95,0,2.7,1.6,0,494,8
96,0,19.1,4.4,0,398,21
97,0,3.0,1.7,0,210,8
98,0,1.5,1.2,0,356,8
99,0,1.6,1.2,0,355,8
100,0,1.5,1.2,0,355,8
101,0,12.1,3.5,0,299,5
102,0,2.9,1.7,0,207,10
103,0,3.0,1.7,0,254,7
104,0,3.5,1.9,0,254,7
105,0,3.5,1.9,0,274,7
106,0,4.0,2.0,0,270,15
107,0,3.1,1.8,0,273,7
108,0,1.7,1.3,0,270,15
109,0,4.7,2.2,0,275,15
110,0,9.1,3.0,0,410,10
111,0,1.8,1.3,0,213,5
112,0,11.9,3.5,0,37,7
113,0,2.9,1.7,0,466,8
114,0,8.7,2.9,0,213,5
115,0,16.5,4.1,0,253,7
116,0,5.3,2.3,0,237,7
117,0,7.0,2.7,0,237,7
118,0,7.0,2.6,0,226,7
119,0,15.5,3.9,0,376,2
120,0,1.7,1.3,0,246,7
121,0,6.7,2.6,0,249,7
122,0,3.4,1.8,0,250,7
123,0,3.7,1.9,0,247,15
124,0,1.7,1.3,0,247,15
125,0,6.0,2.4,0,247,15
126,0,4.6,2.1,0,248,15
127,0,4.0,2.0,0,275,15
128,0,5.1,2.3,0,284,8
129,0,6.4,2.5,0,284,8
130,0,0.7,0.8,0,466,8
131,0,5.0,2.2,0,269,8
132,0,6.7,2.6,0,210,8
133,0,0.9,0.9,0,279,8
134,0,1.2,1.1,0,281,8
135,0,1.1,1.0,0,466,8
136,0,1.4,1.2,0,466,8
137,0,1.2,1.1,0,353,8
138,0,1.6,1.2,0,354,8
139,0,2.0,1.4,0,354,8
140,0,1.2,1.1,0,289,8
141,0,1.2,1.1,0,355,8
142,0,3.9,2.0,0,267,5
143,0,15.1,3.9,0,110,20
144,0,9.4,3.1,0,272,15
145,0,6.3,2.5,0,272,15
146,0,1.8,1.4,0,299,5
147,0,3.1,1.8,0,411,5
148,0,3.5,1.9,0,172,20
149,0,4.3,2.1,0,111,20
150,0,2.3,1.5,0,22,7
151,0,6.7,2.6,0,22,7
152,0,3.7,1.9,0,22,7
153,0,8.1,2.8,0,50,7
154,0,9.0,3.0,0,37,7
155,0,14.8,3.8,0,292,8
156,0,1.5,1.2,0,466,8
157,0,2.1,1.4,0,269,8
158,0,1.3,1.2,0,269,8
159,0,0.9,0.9,0,284,8
160,0,1.1,1.1,0,284,8
161,0,3.4,1.8,0,284,8
162,0,2.0,1.4,0,494,8
163,0,1.2,1.1,0,279,8
164,0,1.5,1.2,0,279,8
165,0,1.0,1.0,0,281,8
166,0,1.3,1.1,0,353,8
167,0,1.3,1.1,0,281,8
168,0,1.6,1.3,0,354,8
169,0,1.7,1.3,0,354,8
170,0,3.9,2.0,0,267,5
171,0,9.9,3.1,0,252,15
172,0,1.2,1.1,0,289,8
173,0,1.5,1.2,0,288,8
174,0,5.8,2.4,0,103,20
175,0,7.9,2.8,0,168,20
176,0,1.8,1.4,0,172,20
177,0,5.8,2.4,0,299,5
178,0,4.3,2.1,0,213,5
179,0,7.2,2.7,0,19,20
180,0,1.8,1.3,0,21,7
181,0,4.9,2.2,0,102,20
182,0,6.7,2.6,0,49,7
183,0,32.9,5.7,0,399,21
184,0,6.8,2.6,0,36,7
185,0,9.0,3.0,0,423,7
186,0,9.7,3.1,0,218,7
187,0,6.3,2.5,0,218,7
188,0,9.7,3.1,0,253,7
189,0,2.9,1.7,0,241,7
190,0,2.5,1.6,0,237,7
191,0,3.3,1.8,0,237,7
192,0,3.2,1.8,0,225,7
193,0,1.1,1.0,0,284,8
194,0,3.2,1.8,0,284,8
195,0,1.5,1.2,0,284,8
196,0,2.5,1.6,0,359,8
197,0,0.9,0.9,0,281,8
198,0,1.2,1.1,0,279,8
199,0,1.2,1.1,0,281,8
200,0,1.5,1.2,0,285,8
201,0,1.4,1.2,0,285,8
