PipeID,UpNode,DownNode,UpBottomElev,DownBottomElev,Shape,Height,Width,HydrolicRadius,Length,Slope,DesignFlow,CapitalCost(CNY),HasPump
148,106,401,8.85,7.90,CIRC,0.35,0.35,0.09,473.82,0.00,35,26836,0
166,121,119,8.90,7.83,CIRC,0.30,0.30,0.07,431.69,0.00,30,22541,0
181,119,401,7.23,6.98,CIRC,0.90,0.90,0.23,267.03,0.00,245,89675,0
149,401,395,6.88,6.37,CIRC,1.00,1.00,0.25,413.28,0.00,270,177226,0
29,26,24,3.00,2.34,CIRC,0.40,0.40,0.10,438.84,0.00,38,145242,0
203,15,25,5.58,3.99,CIRC,0.30,0.30,0.07,529.78,0.00,20,88510,0
32,25,26,3.99,3.10,CIRC,0.30,0.30,0.07,400.17,0.00,27,104562,0
18,16,15,7.20,5.68,CIRC,0.20,0.20,0.05,398.01,0.00,7,22534,0
183,24,14,1.84,1.29,CIRC,0.90,0.90,0.23,528.63,-0.01,210,314494,0
245,140,125,5.29,4.76,CIRC,0.80,0.80,0.20,437.29,0.00,168,146447,0
184,125,126,4.76,4.28,CIRC,0.80,0.80,0.20,415.90,0.00,179,152056,0
212,141,140,5.81,5.29,CIRC,0.80,0.80,0.20,411.85,0.00,160,125164,0
259,126,27,4.28,3.36,CIRC,0.80,0.80,0.20,796.10,0.00,182,308306,0
204,137,138,8.50,6.94,CIRC,0.20,0.20,0.05,408.09,0.00,4,17365,0
214,54,142,1.10,7.40,CIRC,0.70,0.70,0.17,479.38,-0.01,137,3000697,1
279,142,139,7.40,6.85,CIRC,0.70,0.70,0.17,404.84,0.00,142,67640,0
207,139,138,6.85,6.44,CIRC,0.70,0.70,0.17,309.98,0.00,148,59765,0
261,138,141,6.34,5.81,CIRC,0.80,0.80,0.20,403.59,0.00,154,110590,0
194,124,131,4.98,3.91,CIRC,0.30,0.30,0.07,431.67,0.00,30,89392,0
51,44,40,3.87,2.79,CIRC,0.50,0.50,0.12,789.37,0.00,83,247235,0
49,39,40,7.90,6.25,CIRC,0.20,0.20,0.05,430.32,0.00,8,25712,0
196,130,136,5.04,4.54,CIRC,0.45,0.45,0.11,382.59,0.00,55,94301,0
339,136,44,4.54,3.92,CIRC,0.45,0.45,0.11,479.60,0.00,57,125866,0
216,40,131,2.69,1.85,CIRC,0.60,0.60,0.15,481.85,0.00,98,200492,0
186,127,52,7.90,6.06,CIRC,0.20,0.20,0.05,479.52,0.00,15,30949,0
189,52,124,5.96,4.98,CIRC,0.30,0.30,0.07,448.18,0.00,24,66279,0
208,53,130,5.63,5.04,CIRC,0.45,0.45,0.11,450.62,0.00,48,96466,0
333,135,58,8.40,7.39,CIRC,0.30,0.30,0.07,452.74,0.00,21,22943,0
72,58,59,7.39,6.63,CIRC,0.30,0.30,0.07,344.43,0.00,27,33251,0
70,59,53,6.26,5.68,CIRC,0.40,0.40,0.10,386.19,0.00,38,64419,0
217,131,54,1.75,1.10,CIRC,0.70,0.70,0.17,449.43,0.00,128,232527,0
337,409,59,7.90,6.46,CIRC,0.20,0.20,0.05,479.14,0.00,6,33383,0
