RoadID,UpNode,DownNode,SystemType,OnLevel,OffLevel,MaxCapacity(L/s),DWF(L/s),LiftingHeight(m)
214,54,142,Waste,0,0,137,82.8,7.0
182,14,119,Waste,0,0,210,134.6,7.6
354,173,211,Waste,0,0,159,99.8,7.0
836,498,116,Waste,0,0,54,28.9,6.7
2,1,8,Waste,0,0,110,64.1,7.0
24,407,13,Waste,0,0,53,28.3,7.1
536,200,206,Waste,0,0,20,9.5,6.5
360,209,206,Waste,0,0,69,38.2,6.0
549,436,208,Waste,0,0,150,92.3,8.4
123,94,85,Waste,0,0,97,56.0,6.6
512,466,85,Waste,0,0,15,6.7,7.1
511,293,85,Waste,0,0,62,33.8,3.9
574,440,312,Waste,0,0,65,35.8,8.3
780,288,370,Waste,0,0,30,15.1,6.5
779,98,370,Waste,0,0,9,4.0,3.2
816,490,292,Waste,0,0,8,3.8,7.0
365,480,207,Waste,0,0,11,4.8,4.1
665,331,315,Waste,0,0,68,37.7,4.5
596,188,315,Waste,0,0,87,49.5,3.7
679,459,316,Waste,0,0,32,16.4,7.1
661,252,276,Waste,0,0,110,64.4,6.5
318,198,184,Waste,0,0,17,7.7,3.3
543,300,184,Waste,0,0,17,7.7,4.0
545,87,184,Waste,0,0,9,3.9,2.9
433,81,240,Waste,0,0,264,173.4,6.8
385,221,78,Waste,0,0,107,62.3,6.8
648,326,190,Waste,0,0,54,28.9,6.8
299,180,190,Waste,0,0,52,27.6,6.2
388,226,9,Waste,0,0,60,32.7,7.6
164,50,109,Waste,0,0,63,34.5,6.5
8,3,5,Waste,0,0,150,92.6,6.8
252,162,158,Waste,0,0,100,57.7,7.2
226,461,147,Waste,0,0,29,14.6,2.5
231,456,446,Waste,0,0,94,53.6,5.6
674,458,332,Waste,0,0,45,23.5,6.7
645,310,313,Waste,0,0,79,44.6,7.4
671,457,323,Waste,0,0,131,78.4,7.4
747,283,471,Waste,0,0,39,20.2,3.6
728,361,360,Waste,0,0,36,18.6,8.5
761,286,156,Waste,0,0,102,58.8,5.3
762,475,156,Waste,0,0,37,19.3,8.7
86,65,64,Waste,0,0,129,77.3,6.9
142,63,113,Waste,0,0,115,67.3,7.4
391,419,420,Waste,0,0,17,7.9,7.4
395,144,418,Waste,0,0,11,5.0,9.9
489,427,227,Waste,0,0,6,2.9,9.4
87,387,64,Waste,0,0,283,187.2,7.5
802,373,305,Waste,0,0,84,47.4,0.0
