RoadID,UpNode,DownNode,QReuse(m3/d),Diameter(m)
8,3,5,894.02,0.1
620,319,275,1532.17,0.2
340,203,376,3584.99,0.2
9,5,417,2817.92,0.2
602,249,273,133.52,0.1
604,318,274,2956.04,0.2
442,240,218,1015.87,0.2
365,480,207,67.12,0.1
735,209,205,1755.4,0.2
361,474,209,871.31,0.1
454,248,251,125.8,0.1
610,321,320,293.18,0.1
346,442,497,1148.56,0.2
589,444,442,324.12,0.1
251,403,158,55.08,0.1
601,273,203,3530.94,0.2
527,274,273,3058.91,0.2
531,275,271,2061.47,0.2
621,251,275,151.31,0.1
600,272,444,215.22,0.1
344,497,445,1148.56,0.2
605,250,274,33.94,0.1
95,423,71,1571,0.2
424,239,80,50.13,0.1
606,307,318,2771.96,0.2
607,312,307,2174.18,0.2
33,31,32,339.27,0.1
164,109,50,61.45,0.1
466,246,254,17.22,0.1
109,80,81,170.49,0.1
433,81,240,311.56,0.1
549,208,436,184.63,0.1
136,50,37,549.49,0.1
78,49,50,333.51,0.1
563,202,307,87.42,0.1
587,271,312,2174.18,0.2
612,445,319,1148.56,0.2
661,252,276,175.98,0.1
805,292,212,147.92,0.1
250,158,159,109.53,0.1
834,10,253,64.83,0.1
455,219,253,185.3,0.1
425,236,237,155.45,0.1
43,37,3,894.02,0.1
491,254,273,237.42,0.1
608,320,319,326.58,0.1
352,212,208,147.92,0.1
386,78,218,74.57,0.1
456,253,241,400.07,0.1
530,276,275,208.7,0.1
434,241,240,637.6,0.1
96,71,5,1923.9,0.2
529,270,271,112.71,0.1
446,237,241,208.34,0.1
441,218,423,1345.8,0.2
347,436,442,299.66,0.1
58,36,37,135.68,0.1
575,301,377,306.22,0.1
576,441,377,492.81,0.1
590,377,443,799.03,0.1
158,392,103,1187.93,0.2
553,438,301,234.97,0.1
469,242,244,595.13,0.1
420,233,230,320.18,0.1
176,118,123,158.38,0.1
157,103,393,1187.93,0.2
26,19,12,261.04,0.1
155,73,104,453.73,0.1
241,483,157,86.73,0.1
764,287,157,25.72,0.1
793,484,291,743.83,0.1
383,220,174,97.43,0.1
731,363,362,172.09,0.1
710,479,298,24.11,0.1
105,48,35,196.1,0.1
733,362,300,241.48,0.1
542,297,484,721.39,0.1
795,485,211,650.88,0.1
540,300,297,675.84,0.1
179,13,118,158.38,0.1
730,364,363,32.24,0.1
794,211,291,650.88,0.1
93,62,66,266.59,0.1
177,399,398,715.24,0.1
243,157,151,141.61,0.1
165,398,6,715.24,0.1
76,56,48,132.25,0.1
296,176,177,20.8,0.1
784,345,363,14.73,0.1
775,481,362,12.24,0.1
471,424,238,78.72,0.1
92,66,72,1805.86,0.2
417,224,233,132.92,0.1
159,110,392,964.09,0.2
419,145,233,69.52,0.1
156,104,393,453.73,0.1
436,422,245,169.55,0.1
274,123,168,280.66,0.1
293,174,66,1539.27,0.2
838,243,245,163.01,0.1
421,230,238,368.14,0.1
160,12,110,344.44,0.1
500,268,432,221.34,0.1
273,8,110,259.62,0.1
734,469,300,304.37,0.1
507,431,432,1394.71,0.2
440,245,178,360.16,0.1
399,228,424,78.72,0.1
470,238,242,517.76,0.1
554,437,438,234.97,0.1
275,168,110,360.03,0.1
538,151,268,141.61,0.1
783,290,483,86.73,0.1
508,291,431,1394.71,0.2
439,244,178,769.24,0.1
431,177,243,93.21,0.1
249,159,160,234.02,0.1
541,298,268,24.11,0.1
106,35,62,196.1,0.1
97,389,73,288.24,0.1
294,178,174,1222.92,0.2
384,221,174,62.68,0.1
330,160,31,264.86,0.1
718,467,279,38.62,0.1
526,296,430,828.6,0.1
368,411,213,81.36,0.1
41,22,21,1061.62,0.2
37,20,28,218.57,0.1
320,173,183,123.52,0.1
288,172,111,191.89,0.1
537,201,207,1817.03,0.2
39,23,29,1616.67,0.2
40,21,29,1323.21,0.2
713,353,354,551.48,0.1
748,472,210,102.56,0.1
287,29,167,3024.44,0.2
836,116,498,111.33,0.1
359,210,206,557.56,0.1
754,96,284,69.82,0.1
716,494,354,147.85,0.1
524,430,86,969.8,0.2
792,289,356,24.86,0.1
513,183,86,197.65,0.1
169,498,122,449.52,0.1
351,205,201,1817.03,0.2
828,213,296,505.33,0.1
23,11,407,1291,0.2
170,400,74,200.83,0.1
171,74,498,200.83,0.1
